ratio e_15 p_15 M M_0 r_star spin Omega_K I J/M^2 
1.00000 1.50400 0.37733 1.73727 1.98413 11.13106 0.0 12925.9 0.00000 0.00000 
1.00000 1.51200 0.38184 1.74121 1.98948 11.12196 0.0 12956.4 0.00000 0.00000 
1.00000 1.52000 0.38636 1.74508 1.99474 11.11286 0.0 12986.7 0.00000 0.00000 
1.00000 1.52800 0.39092 1.74891 1.99996 11.10379 0.0 13016.9 0.00000 0.00000 
1.00000 1.53600 0.39549 1.75269 2.00510 11.09475 0.0 13046.8 0.00000 0.00000 
1.00000 1.54400 0.40009 1.75639 2.01016 11.08566 0.0 13076.7 0.00000 0.00000 
1.00000 1.55200 0.40471 1.76007 2.01519 11.07666 0.0 13106.3 0.00000 0.00000 
1.00000 1.56000 0.40935 1.76369 2.02014 11.06766 0.0 13135.7 0.00000 0.00000 
1.00000 1.56800 0.41401 1.76725 2.02502 11.05864 0.0 13165.0 0.00000 0.00000 
1.00000 1.57600 0.41870 1.77076 2.02985 11.04967 0.0 13194.2 0.00000 0.00000 
1.00000 1.58400 0.42340 1.77423 2.03462 11.04069 0.0 13223.2 0.00000 0.00000 
1.00000 1.59200 0.42813 1.77764 2.03933 11.03169 0.0 13252.1 0.00000 0.00000 
1.00000 1.60000 0.43288 1.78104 2.04403 11.02278 0.0 13280.8 0.00000 0.00000 
1.00000 1.60800 0.43766 1.78437 2.04864 11.01384 0.0 13309.5 0.00000 0.00000 
1.00000 1.61600 0.44245 1.78765 2.05319 11.00489 0.0 13337.9 0.00000 0.00000 
1.00000 1.62400 0.44727 1.79088 2.05769 10.99599 0.0 13366.2 0.00000 0.00000 
1.00000 1.63200 0.45211 1.79409 2.06215 10.98713 0.0 13394.4 0.00000 0.00000 
1.00000 1.64000 0.45697 1.79723 2.06652 10.97824 0.0 13422.4 0.00000 0.00000 
1.00000 1.64800 0.46185 1.80034 2.07087 10.96943 0.0 13450.2 0.00000 0.00000 
1.00000 1.65600 0.46675 1.80340 2.07514 10.96060 0.0 13477.9 0.00000 0.00000 
1.00000 1.66400 0.47167 1.80641 2.07936 10.95179 0.0 13505.4 0.00000 0.00000 
1.00000 1.67200 0.47662 1.80938 2.08352 10.94301 0.0 13532.8 0.00000 0.00000 
1.00000 1.68000 0.48158 1.81230 2.08762 10.93424 0.0 13560.1 0.00000 0.00000 
1.00000 1.68800 0.48657 1.81518 2.09166 10.92550 0.0 13587.1 0.00000 0.00000 
1.00000 1.69600 0.49158 1.81800 2.09562 10.91673 0.0 13614.1 0.00000 0.00000 
1.00000 1.70400 0.49661 1.82079 2.09956 10.90803 0.0 13640.9 0.00000 0.00000 
