ratio e_15 p_15 M M_0 r_star spin Omega_K I J/M^2 
0.88715 2.18400 0.83279 2.01979 2.35632 10.90604 6283.0 14010.9 2.04526 0.35842 
0.88753 2.19200 0.83892 2.02048 2.35744 10.89628 6283.1 14031.0 2.04381 0.35792 
0.88790 2.20000 0.84506 2.02116 2.35854 10.88657 6283.1 14051.0 2.04235 0.35743 
0.88827 2.20800 0.85122 2.02183 2.35962 10.87691 6283.2 14070.9 2.04089 0.35694 
0.88863 2.21600 0.85740 2.02248 2.36068 10.86730 6283.2 14090.7 2.03941 0.35646 
0.88899 2.22400 0.86359 2.02311 2.36171 10.85775 6283.3 14110.3 2.03792 0.35598 
0.88935 2.23200 0.86979 2.02373 2.36273 10.84824 6283.4 14129.9 2.03642 0.35550 
0.88971 2.24000 0.87601 2.02434 2.36373 10.83879 6283.5 14149.4 2.03491 0.35503 
0.89006 2.24800 0.88225 2.02494 2.36470 10.82938 6283.6 14168.9 2.03339 0.35456 
0.89041 2.25600 0.88850 2.02552 2.36566 10.82002 6283.7 14188.2 2.03186 0.35410 
0.89076 2.26400 0.89477 2.02604 2.36654 10.81062 6283.8 14207.5 2.03027 0.35364 
0.89110 2.27200 0.90105 2.02659 2.36745 10.80136 6283.9 14226.6 2.02872 0.35319 
0.89144 2.28000 0.90735 2.02713 2.36834 10.79214 6284.0 14245.7 2.02716 0.35273 
0.89178 2.28800 0.91366 2.02766 2.36921 10.78297 6284.0 14264.7 2.02559 0.35228 
0.89212 2.29600 0.91999 2.02817 2.37006 10.77385 6284.1 14283.5 2.02401 0.35183 
0.89245 2.30400 0.92633 2.02866 2.37089 10.76477 6284.1 14302.3 2.02242 0.35138 
0.89278 2.31200 0.93268 2.02915 2.37170 10.75574 6284.1 14321.0 2.02082 0.35094 
0.89311 2.32000 0.93905 2.02962 2.37249 10.74676 6284.1 14339.6 2.01921 0.35050 
0.89344 2.32800 0.94544 2.03008 2.37327 10.73782 6284.1 14358.1 2.01760 0.35006 
0.89376 2.33600 0.95184 2.03053 2.37403 10.72893 6284.2 14376.6 2.01598 0.34963 
0.89408 2.34400 0.95825 2.03097 2.37477 10.72009 6284.3 14394.9 2.01435 0.34920 
0.89440 2.35200 0.96468 2.03139 2.37549 10.71129 6284.4 14413.2 2.01272 0.34877 
0.89471 2.36000 0.97113 2.03181 2.37620 10.70253 6284.5 14431.4 2.01108 0.34835 
0.89502 2.36800 0.97758 2.03221 2.37689 10.69382 6284.6 14449.5 2.00944 0.34793 
0.89533 2.37600 0.98406 2.03259 2.37753 10.68510 6284.6 14467.5 2.00777 0.34752 
0.89564 2.38400 0.99054 2.03297 2.37819 10.67648 6284.7 14485.5 2.00611 0.34711 
0.89595 2.39200 0.99704 2.03333 2.37882 10.66789 6284.7 14503.3 2.00444 0.34670 
0.89625 2.40000 1.00356 2.03369 2.37944 10.65935 6284.7 14521.1 2.00277 0.34629 
0.89655 2.40800 1.01008 2.03404 2.38004 10.65086 6284.7 14538.8 2.00109 0.34588 
0.89685 2.41600 1.01663 2.03437 2.38063 10.64240 6284.7 14556.4 1.99940 0.34547 
0.89715 2.42400 1.02318 2.03470 2.38119 10.63398 6284.7 14574.0 1.99771 0.34507 
0.89744 2.43200 1.02975 2.03501 2.38174 10.62560 6284.7 14591.4 1.99601 0.34467 
0.89773 2.44000 1.03634 2.03531 2.38228 10.61727 6284.6 14608.8 1.99431 0.34427 
0.89802 2.44800 1.04293 2.03560 2.38279 10.60897 6284.5 14626.1 1.99259 0.34387 
0.89831 2.45600 1.04954 2.03589 2.38329 10.60071 6284.4 14643.4 1.99088 0.34347 
0.89859 2.46400 1.05617 2.03616 2.38378 10.59249 6284.2 14660.6 1.98915 0.34307 
0.89887 2.47200 1.06280 2.03642 2.38425 10.58430 6284.1 14677.7 1.98742 0.34268 
0.89915 2.48000 1.06945 2.03667 2.38471 10.57615 6283.9 14694.7 1.98569 0.34228 
0.89943 2.48800 1.07612 2.03691 2.38515 10.56804 6283.7 14711.6 1.98395 0.34189 
0.89971 2.49600 1.08279 2.03715 2.38558 10.55997 6283.5 14728.5 1.98221 0.34150 
0.89998 2.50400 1.08948 2.03737 2.38599 10.55193 6283.3 14745.3 1.98046 0.34111 
0.90025 2.51200 1.09619 2.03746 2.38621 10.54367 6283.1 14762.4 1.97858 0.34075 
0.90051 2.52000 1.10291 2.03767 2.38660 10.53574 6283.1 14779.1 1.97684 0.34038 
