ratio e_15 p_15 M M_0 r_star spin Omega_K I J/M^2 
0.79981 1.64400 0.45941 1.97397 2.26789 12.04928 7224.6 12040.6 2.24534 0.47370 
0.79996 1.65200 0.46430 1.97695 2.27203 12.03701 7239.8 12066.1 2.24717 0.47365 
0.80011 1.66000 0.46921 1.97978 2.27597 12.02453 7255.0 12091.6 2.24879 0.47363 
0.80026 1.66800 0.47414 1.98265 2.27998 12.01237 7270.1 12116.8 2.25047 0.47360 
0.80041 1.67600 0.47910 1.98549 2.28393 12.00026 7285.2 12141.8 2.25207 0.47356 
0.80056 1.68400 0.48408 1.98827 2.28782 11.98819 7300.1 12166.6 2.25359 0.47352 
0.80071 1.69200 0.48907 1.99101 2.29165 11.97617 7315.0 12191.3 2.25505 0.47349 
0.80086 1.70000 0.49409 1.99370 2.29542 11.96419 7329.7 12215.9 2.25643 0.47345 
0.80100 1.70800 0.49913 1.99635 2.29913 11.95226 7344.4 12240.3 2.25774 0.47342 
0.80115 1.71600 0.50419 1.99895 2.30278 11.94037 7359.0 12264.6 2.25898 0.47338 
0.80130 1.72400 0.50927 2.00151 2.30637 11.92852 7373.5 12288.8 2.26014 0.47335 
0.80144 1.73200 0.51436 2.00402 2.30990 11.91673 7387.9 12312.8 2.26124 0.47332 
0.80159 1.74000 0.51948 2.00650 2.31338 11.90498 7402.3 12336.7 2.26228 0.47328 
0.80173 1.74800 0.52462 2.00893 2.31680 11.89328 7416.5 12360.5 2.26325 0.47325 
0.80188 1.75600 0.52978 2.01132 2.32017 11.88163 7430.7 12384.1 2.26416 0.47322 
0.80202 1.76400 0.53496 2.01367 2.32349 11.87002 7444.9 12407.6 2.26501 0.47319 
0.80216 1.77200 0.54016 2.01598 2.32675 11.85845 7458.9 12431.0 2.26580 0.47316 
0.80230 1.78000 0.54538 2.01825 2.32996 11.84694 7472.9 12454.3 2.26652 0.47313 
0.80245 1.78800 0.55062 2.02048 2.33312 11.83546 7486.8 12477.4 2.26719 0.47311 
0.80259 1.79600 0.55588 2.02268 2.33623 11.82404 7500.6 12500.4 2.26780 0.47308 
0.80273 1.80400 0.56116 2.02484 2.33929 11.81266 7514.3 12523.3 2.26836 0.47305 
0.80287 1.81200 0.56645 2.02696 2.34230 11.80132 7528.0 12546.0 2.26886 0.47303 
0.80301 1.82000 0.57177 2.02904 2.34526 11.79003 7541.6 12568.7 2.26930 0.47300 
