ratio e_15 p_15 M M_0 r_star spin Omega_K I J/M^2 
0.56382 1.93600 0.65099 2.26234 2.61738 14.06419 10164.2 10164.9 2.92127 0.66011 
0.56388 1.94400 0.65659 2.26388 2.61956 14.04938 10182.4 10183.1 2.92015 0.66014 
0.56393 1.95200 0.66222 2.26538 2.62170 14.03465 10200.5 10201.2 2.91899 0.66018 
0.56399 1.96000 0.66786 2.26685 2.62379 14.01999 10218.6 10219.3 2.91777 0.66021 
0.56404 1.96800 0.67352 2.26830 2.62584 14.00540 10236.5 10237.2 2.91651 0.66024 
0.56410 1.97600 0.67920 2.26971 2.62785 13.99088 10254.4 10255.1 2.91519 0.66027 
0.56416 1.98400 0.68489 2.27109 2.62982 13.97643 10272.1 10272.8 2.91384 0.66030 
0.56421 1.99200 0.69061 2.27245 2.63175 13.96207 10289.8 10290.5 2.91243 0.66033 
0.56427 2.00000 0.69634 2.27378 2.63364 13.94777 10307.4 10308.1 2.91099 0.66036 
0.56432 2.00800 0.70209 2.27507 2.63549 13.93355 10324.9 10325.5 2.90950 0.66039 
0.56438 2.01600 0.70785 2.27634 2.63731 13.91939 10342.3 10342.9 2.90796 0.66042 
0.56443 2.02400 0.71363 2.27759 2.63908 13.90530 10359.7 10360.2 2.90639 0.66045 
0.56449 2.03200 0.71943 2.27880 2.64082 13.89128 10376.9 10377.5 2.90478 0.66048 
0.56454 2.04000 0.72525 2.27999 2.64252 13.87733 10394.1 10394.6 2.90313 0.66050 
0.56460 2.04800 0.73109 2.28115 2.64418 13.86344 10411.2 10411.7 2.90144 0.66053 
0.56466 2.05600 0.73694 2.28229 2.64581 13.84962 10428.2 10428.6 2.89971 0.66056 
0.56471 2.06400 0.74280 2.28340 2.64740 13.83588 10445.1 10445.5 2.89795 0.66058 
0.56477 2.07200 0.74869 2.28449 2.64896 13.82219 10462.0 10462.3 2.89616 0.66061 
0.56482 2.08000 0.75459 2.28555 2.65049 13.80857 10478.7 10479.1 2.89433 0.66064 
0.56488 2.08800 0.76051 2.28659 2.65198 13.79502 10495.4 10495.7 2.89247 0.66066 
0.56494 2.09600 0.76644 2.28761 2.65344 13.78152 10512.0 10512.3 2.89058 0.66069 
0.56499 2.10400 0.77239 2.28860 2.65486 13.76808 10528.5 10528.8 2.88865 0.66071 
0.56505 2.11200 0.77836 2.28957 2.65626 13.75471 10545.0 10545.3 2.88670 0.66074 
0.56510 2.12000 0.78434 2.29051 2.65762 13.74140 10561.3 10561.6 2.88471 0.66076 
0.56516 2.12800 0.79034 2.29144 2.65895 13.72816 10577.6 10577.9 2.88270 0.66078 
